part_number,qty,amount
Y030JE092_6360,5,100
Y030JE098_6360,8,160
Y050JE156_6360,11,220
Y030JE168_6360,14,280
Y011JE009_6360,17,340
Y030JE150_6360,20,400
Y200JE038_6360,23,460
Y010JE904_6360,26,520
Y020JE301_6360,29,580
Y020JE388_6360,32,640
Y030JE137_6360,35,700
Y050JE091_6360,38,760
Y050JE106_6360,41,820
Y050JE131_6360,44,880
Y201JE006_6360,47,940
423277-11010,50,1000
423275-11920,53,1060
423275-11930,56,1120
423115-10620,59,1180
423125-10270,62,1240
423126-10240,65,1300
423127-10360,68,1360
423128-10360,71,1420
423116-10780,74,1480
455111-12140,77,1540
455112-12140,78,1541
455121-11540,79,1542
455122-11370,80,1543
455111-11880,81,1544
455112-11920,82,1545
455121-11430,83,1546
455122-11330,84,1547
423125-10090,85,1548
423126-10060,86,1549
423127-10090,87,1550
423128-10080,88,1551
423127-10270,89,1552
423128-10270,90,1553
423311-10380,91,1554
423312-10380,92,1555
423112-10850,93,1556
423122-10600,94,1557
423111-12440,95,1558
423121-11600,96,1559
423125-10030,97,1560
423126-10030,98,1561
423127-10030,99,1562
423128-10030,100,1563
423115-10080,101,1564
423116-10070,110,1573
423275-10300,119,1582
423277-10210,128,1591
423275-10290,137,1600
423115-10890,146,1609
423115-10900,155,1618
423115-10910,164,1627
423115-10920,173,1636
423116-11030,182,1645
423116-11040,191,1654
423125-10230,200,1663
423126-10210,209,1672
423127-10280,218,1681
423128-10280,227,1690
423275-11050,236,1699
423275-11040,245,1708
455111-12290,254,1717
455112-12220,263,1726
455121-11590,272,1735
455122-11390,281,1744
455121-11600,290,1753
455122-11410,299,1762
416766-10170,308,1771
413111-10080,317,1780
413112-10090,326,1789
423633-10260,335,1798
423634-10220,344,1807
423613-10340,353,1816
423614-10360,362,1825
423623-10350,371,1834
423624-10290,380,1843
426156-10520,389,1852
413211-10140,398,1861
413212-10140,407,1870
413261-10410,416,1879
413262-10430,425,1888
423277-11010,434,1897
423275-11920,443,1906
423275-11930,452,1915
423115-10620,461,1924
423125-10270,470,1933
423126-10240,479,1942
423127-10360,488,1951
423128-10360,497,1960
423116-10780,506,1969
455111-12140,515,1978
455112-12140,524,1987
455121-11540,533,1996
455122-11370,542,2005
455111-11880,551,2014
455112-11920,560,2023
455121-11430,569,2032
455122-11330,578,2041
423125-10090,587,2050
423126-10060,596,2059
423127-10090,605,2068
423128-10080,614,2077
423127-10270,623,2086
423128-10270,632,2095
423311-10380,641,2104
423312-10380,650,2113
423112-10850,659,2122
423122-10600,668,2131
423111-12440,677,2140
423121-11600,686,2149
423125-10030,695,2158
423126-10030,704,2167
423127-10030,713,2176
423128-10030,722,2185
423115-10080,731,2194
423116-10070,740,2203
423275-10300,749,2212
423277-10210,758,2221
423275-10290,767,2230
423115-10890,776,2239
423115-10900,785,2248
423115-10910,794,2257
423115-10920,803,2266
423116-11030,812,2275
423116-11040,821,2284
423125-10230,830,2293
423126-10210,839,2302
423127-10280,848,2311
423128-10280,857,2320
423275-11050,866,2329
423275-11040,875,2338
455111-12290,884,2347
455112-12220,893,2356
455121-11590,902,2365
455122-11390,911,2374
455121-11600,920,2383
455122-11410,929,2392
416766-10170,938,2401
413111-10080,947,2410
413112-10090,956,2419
423633-10260,965,2428
423634-10220,974,2437
423613-10340,983,2446
423614-10360,992,2455
423623-10350,1001,2464
423624-10290,1010,2473
426156-10520,1019,2482
413211-10140,1028,2491
413212-10140,1037,2500
413261-10410,1046,2509
413262-10430,1055,2518
423110-13690-C0K,1064,2527
423110-13690-J4E,1073,2536
423110-13690-B3M,1082,2545
423110-13690-A0A,1091,2554
423110-13690-D2X,1100,2563
423110-13690-B1L,1109,2572
423120-13690-C0K,1118,2581
423120-13690-J4E,1127,2590
423120-13690-B3M,1136,2599
423120-13690-A0A,1145,2608
423120-13690-D2X,1154,2617
423120-13690-B1L,1163,2626
423130-11790-C0K,1172,2635
423130-11790-J4E,1181,2644
423130-11790-B3M,1190,2653
423130-11790-A0A,1199,2662
423130-11790-D2X,1208,2671
423130-11790-B1L,1217,2680
423140-11790-C0K,1226,2689
423140-11790-J4E,1235,2698
423140-11790-B3M,1244,2707
423140-11790-A0A,1253,2716
423140-11790-D2X,1262,2725
423140-11790-B1L,1271,2734
423110-13710-BD3,1280,2743
423110-13710-CDC,1289,2752
423110-13710-BDB,1298,2761
423110-13710-DDS,1307,2770
423110-13710-DDR,1316,2779
423110-13710-ADE,1325,2788
423110-13710-KD3,1334,2797
423110-13710-KD4,1343,2806
423275-10290-BD3,1352,2815
423275-10290-CDC,5,100
423275-10290-BDB,8,160
423275-10290-DDS,11,220
423275-10290-DDR,14,280
423275-10290-ADE,17,340
423275-10290-KD3,20,400
423275-10290-KD4,23,460
423205-10180-BD3,26,520
423205-10180-CDC,29,580
423205-10180-BDB,32,640
423205-10180-DDS,35,700
423205-10180-DDR,38,760
423205-10180-ADE,41,820
423205-10180-KD3,44,880
423205-10180-KD4,47,940
423207-10220-BD3,50,1000
423207-10220-CDC,53,1060
423207-10220-BDB,56,1120
423207-10220-DDS,59,1180
423207-10220-DDR,62,1240
423207-10220-ADE,65,1300
423207-10220-KD3,68,1360
423207-10220-KD4,71,1420
423111-10250-A01,74,1480
423111-10250-A0U,77,1540
423111-10250-B1L,78,1541
423111-10250-B2M,79,1542
423111-10250-C0H,80,1543
423111-10250-D2X,81,1544
423111-10250-F10,82,1545
423111-10250-E37,83,1546
423111-10250-E38,84,1547
423111-10250-J4F,85,1548
423111-10250,86,1549
423275-10010-A01,87,1550
423275-10010-A0U,88,1551
423275-10010-B1L,89,1552
423275-10010-B2M,90,1553
423275-10010-C0H,91,1554
423275-10010-D2X,92,1555
423275-10010-F10,93,1556
423275-10010-E37,94,1557
423275-10010-E38,95,1558
423275-10010-J4F,96,1559
423275-10010,97,1560
423207-10420-A01,98,1561
423207-10420-A0U,99,1562
423207-10420-B1L,100,1563
423207-10420-B2M,101,1564
423207-10420-C0H,110,1573
423207-10420-D2X,119,1582
423207-10420-F10,128,1591
423207-10420-E37,137,1600
423207-10420-E38,146,1609
423207-10420-J4F,155,1618
423207-10420-J3P,164,1627
484170-10870-A01,173,1636
484170-10870-B1L,182,1645
484170-10870-B2M,191,1654
484170-10870-C0H,200,1663
484170-10870-E37,209,1672
484170-10870-F10,218,1681
484170-10870-E2N,227,1690
423110-14180-A01,236,1699
423110-14180-B1L,245,1708
423110-14180-B2M,254,1717
423110-14180-C0H,263,1726
423110-14180-E37,272,1735
423110-14180-F10,281,1744
423110-14180-E2N,290,1753
423130-11870-A01,299,1762
423130-11870-B1L,308,1771
423130-11870-B2M,317,1780
423130-11870-C0H,326,1789
423130-11870-E37,335,1798
423130-11870-F10,344,1807
423130-11870-E2N,353,1816
423275-11050-A01,362,1825
423275-11050-B1L,371,1834
423275-11050-B2M,380,1843
423275-11050-C0H,389,1852
423275-11050-E37,398,1861
423275-11050-F10,407,1870
423275-11050-E2N,416,1879
423205-10720-A01,425,1888
423205-10720-B1L,434,1897
423205-10720-B2M,443,1906
423205-10720-C0H,452,1915
423205-10720-E37,461,1924
423205-10720-F10,470,1933
423205-10720-E2N,479,1942
423110-13820-A01,488,1951
423110-13820-A0U,497,1960
423110-13820-B2M,506,1969
423110-13820-B1R,515,1978
423110-13820-C0H,524,1987
423110-13820-E35,533,1996
423110-13820-E24,542,2005
423110-13820-E2V,551,2014
423110-13820-G3C,560,2023
423110-13820-J4N,569,2032
423275-11920-A01,578,2041
423275-11920-A0U,587,2050
423275-11920-B2M,596,2059
423275-11920-B1R,605,2068
423275-11920-C0H,614,2077
423275-11920-E35,623,2086
423275-11920-E24,632,2095
423275-11920-E2V,641,2104
423275-11920-G3C,650,2113
423275-11920-J4N,659,2122
423205-11480-A01,668,2131
423205-11480-A0U,677,2140
423205-11480-B2M,686,2149
423205-11480-B1R,695,2158
423205-11480-C0H,704,2167
423205-11480-E35,713,2176
423205-11480-E24,722,2185
423205-11480-E2V,731,2194
423205-11480-G3C,740,2203
423205-11480-J4N,749,2212
423207-11200-A01,758,2221
423207-11200-A0U,767,2230
423207-11200-B2M,776,2239
423207-11200-B1R,785,2248
423207-11200-C0H,794,2257
423207-11200-E35,803,2266
